"Lon","Lat","NAMES","DATE","TYPE"
-124.6929,49.4085,"August 1987",1987-08-15 06:00:00,"Class_A"
-116.5133,49.41289,"1970 to current",1993-07-30 06:00:00,"Class_A"
-98.03333,50.25,"April 1981",2005-03-14 06:00:00,"Class_A"
-96.17149,50.5697,"September 1976",1976-09-15 07:00:00,"Class_A"
-99.11815,52.9884,"September 1990",1990-09-24 06:00:00,"Class_A"
-97.595,54.245,"April 2005",2005-04-16 06:00:00,"Class_A"
-100.9129,50.91725,"mid 1960's",1965-07-15 07:00:00,"Class_A"
-67.05334,45.6746,"July 2002",2002-07-28 06:00:00,"Class_A"
-64.4627,45.98335,"June 2006",2006-06-06 06:00:00,"Class_A"
-79.5985,43.2114,"August 1978",1978-08-19 07:00:00,"Class_A"
-79.1338,45.01904,"July 1981",2007-02-10 06:00:00,"Class_A"
-79.76308,44.86073,"1968",2007-01-29 06:00:00,"Class_A"
-81.00553,49.16669,"October 1992",2007-01-29 06:00:00,"Class_A"
-93.88194,51.03445,"October 1990",1990-10-27 07:00:00,"Class_A"
-80.60942,43.62427,"December 2004",2007-01-17 06:00:00,"Class_A"
-79.94618,48.03027,"October 2006",2007-01-12 06:00:00,"Class_A"
-75.63184,44.53995,"December 2006",2007-01-27 06:00:00,"Class_A"
-92.04907,48.36266,"September 1993-94",2007-03-05 06:00:00,"Class_A"
-94.02934,49.40276,"August 2006",2007-07-22 06:00:00,"Class_A"
-93.47855,48.60385,"2007",2007-08-31 06:00:00,"Class_A"
-94.5176,52.6752,"July 1986",1986-07-05 06:00:00,"Class_A"
-79.81129,48.51035,"September 2006",2006-09-01 06:00:00,"Class_A"
-76.4198,44.61615,"August 2008",2008-08-15 06:00:00,"Class_A"
-80.02915,44.15255,"May 1990",1990-05-04 06:00:00,"Class_A"
-134.4837,60.36933,"August 1978",1978-08-01 07:00:00,"Class_A"
-135.1155,60.69976,"August 1992",2009-03-31 06:00:00,"Class_A"
-105.4979,37.57915,"August 2000",2000-08-20 06:00:00,"Class_A"
-105.8199,39.67095,"August 2000",2000-08-26 06:00:00,"Class_A"
-107.0153,39.1084,"August 2000",2000-08-23 06:00:00,"Class_A"
-105.9583,40.79166,"1971",1971-07-15 07:00:00,"Class_A"
-105.1058,38.8922,"September 1998-1999",1999-09-11 06:00:00,"Class_A"
-105.0652,39.21338,"September 1998",1998-09-28 06:00:00,"Class_A"
-107.8833,38.49833,"May 1977",1977-05-01 07:00:00,"Class_A"
-106.4917,37.30833,"June 1994",1994-06-01 06:00:00,"Class_A"
-106.5123,37.32255,"July 1997",1997-07-13 06:00:00,"Class_A"
-104.9677,39.42923,"September 1997",1997-09-02 06:00:00,"Class_A"
-106.8085,39.6632,"April 2000",2000-03-21 06:00:00,"Class_A"
-104.9743,38.8993,"November 1997",1997-11-01 06:00:00,"Class_A"
-104.9908,38.54166,"April 1998",1998-04-14 06:00:00,"Class_A"
-106.4269,39.18975,"October 1994",1994-10-23 07:00:00,"Class_A"
-106.3833,39.26944,"1975",1975-07-20 07:00:00,"Class_A"
-105.3646,40.57499,"August 1990",1990-08-10 06:00:00,"Class_A"
-108.5417,40.45418,"July 1991",1991-07-02 06:00:00,"Class_A"
-107.7667,37.75417,"July 1998",1998-07-25 06:00:00,"Class_A"
-105.1598,38.753,"1981",1981-01-15 06:00:00,"Class_A"
-105.9333,40.54167,"September 1996",1996-09-20 06:00:00,"Class_A"
-106.2583,39.24998,"June 1994/95?",1995-06-15 06:00:00,"Class_A"
-108.2083,37.4625,"August 2001",2001-09-08 06:00:00,"Class_A"
-105.1167,38.4,"October 1987",1987-10-26 06:00:00,"Class_A"
-104.8604,38.6691,"December 1999",1999-12-15 06:00:00,"Class_A"
-106.3,39.25,"September 1971",1971-09-15 07:00:00,"Class_A"
-106.2275,39.32385,"September 1998",1998-09-19 06:00:00,"Class_A"
-107.0671,39.3375,"February 2001",2001-02-20 06:00:00,"Class_A"
-106.6535,40.4521,"June 1996",1996-06-26 06:00:00,"Class_A"
-104.9917,38.9006,"June 2001",2001-06-30 06:00:00,"Class_A"
-105.4826,37.5969,"1994",1994-05-15 06:00:00,"Class_A"
